id;Имя Папы
1;Буйный
2;Соловчик
3;Барин
4;Буйный
5;Барин
6;Барин
7;Соловчик
8;Геркулес
9;Буйный
10;Барин
11;Буйный
12;Соловчик
13;Барин
14;Буйный
15;Геркулес
16;Буйный
17;Буйный
18;Буйный
19;Соловчик
20;Барин
21;Буйный
22;Буйный
23;Соловчик
24;Геркулес
25;Буйный
26;Буйный
27;Барин
28;Буйный
29;Барин
30;Геркулес
31;Барин
32;Буйный
33;Буйный
34;Геркулес
35;Соловчик
36;Барин
37;Барин
38;Соловчик
39;Буйный
40;Барин
41;Геркулес
42;Буйный
43;Барин
44;Барин
45;Геркулес
46;Соловчик
47;Буйный
48;Соловчик
49;Барин
50;Буйный
51;Геркулес
52;Буйный
53;Геркулес
54;Барин
55;Барин
56;Барин
57;Барин
58;Буйный
59;Буйный
60;Буйный
61;Буйный
62;Барин
63;Соловчик
64;Буйный
65;Барин
66;Соловчик
67;Соловчик
68;Барин
69;Соловчик
70;Соловчик
71;Геркулес
72;Барин
73;Барин
74;Барин
75;Барин
76;Барин
77;Геркулес
78;Соловчик
79;Барин
80;Геркулес
81;Геркулес
82;Барин
83;Буйный
84;Барин
85;Барин
86;Буйный
87;Барин
88;Геркулес
89;Барин
90;Соловчик
91;Буйный
92;Буйный
93;Барин
94;Буйный
95;Буйный
96;Буйный
97;Барин
98;Барин
99;Геркулес
100;Барин
101;Буйный
102;Барин
103;Соловчик
104;Буйный
105;Барин
106;Буйный
107;Барин
108;Геркулес
109;Буйный
110;Буйный
111;Буйный
112;Буйный
113;Барин
114;Барин
115;Соловчик
116;Буйный
117;Барин
118;Соловчик
119;Соловчик
120;Барин
121;Барин
122;Барин
123;Буйный
124;Геркулес
125;Соловчик
126;Барин
127;Барин
128;Соловчик
129;Соловчик
130;Барин
131;Барин
132;Барин
133;Барин
134;Буйный
135;Барин
136;Буйный
137;Буйный
138;Буйный
139;Барин
140;Буйный
141;Барин
142;Соловчик
143;Буйный
144;Соловчик
145;Буйный
146;Соловчик
147;Буйный
148;Барин
149;Соловчик
150;Барин
151;Соловчик
152;Барин
153;Барин
154;Барин
155;Буйный
156;Барин
157;Буйный
158;Барин
159;Буйный
160;Геркулес
161;Барин
162;Буйный
163;Буйный
164;Барин
165;Барин
166;Соловчик
167;Соловчик
168;Геркулес
169;Буйный
170;Геркулес
171;Барин
172;Буйный
173;Барин
174;Барин
175;Буйный
176;Буйный
177;Геркулес
178;Геркулес
179;Барин
180;Буйный
181;Барин
182;Соловчик
183;Барин
184;Барин
185;Соловчик
186;Буйный
187;Геркулес
188;Буйный
189;Соловчик
190;Барин
191;Барин
192;Барин
193;Соловчик
194;Буйный
195;Буйный
196;Барин
197;Буйный
198;Буйный
199;Соловчик
200;Буйный
201;Соловчик
202;Барин
203;Соловчик
204;Буйный
205;Барин
206;Буйный
207;Барин
208;Барин
209;Барин
210;Барин
211;Буйный
212;Буйный
213;Буйный
214;Барин
215;Барин
216;Буйный
217;Буйный
218;Буйный
219;Буйный
220;Барин
221;Барин
222;Буйный
223;Соловчик
224;Геркулес
225;Буйный
226;Геркулес
227;Буйный
228;Соловчик
229;Барин
230;Буйный
231;Соловчик
232;Соловчик
233;Барин
234;Соловчик
235;Буйный
236;Барин
237;Буйный
238;Соловчик
239;Соловчик
240;Барин
241;Соловчик
242;Буйный
243;Соловчик
244;Буйный
245;Барин
246;Барин
247;Буйный
248;Барин
249;Геркулес
250;Барин
251;Буйный
252;Барин
253;Барин
254;Соловчик
255;Барин
256;Барин
257;Барин
258;Барин
259;Барин
260;Буйный
261;Барин
262;Барин
263;Геркулес
264;Барин
265;Буйный
266;Буйный
267;Буйный
268;Буйный
269;Барин
270;Соловчик
271;Барин
272;Геркулес
273;Барин
274;Барин
275;Барин
276;Барин
277;Барин
278;Барин
279;Геркулес
280;Барин
281;Барин
282;Барин
283;Барин
284;Барин
285;Барин
286;Буйный
287;Соловчик
288;Соловчик
289;Буйный
290;Барин
291;Буйный
292;Барин
293;Барин
294;Соловчик
295;Буйный
296;Буйный
297;Буйный
298;Буйный
299;Буйный
300;Буйный
301;Барин
302;Геркулес
303;Соловчик
304;Соловчик
305;Буйный
306;Соловчик
307;Буйный
308;Буйный
309;Барин
310;Буйный
311;Барин
312;Барин
313;Соловчик
314;Буйный
315;Буйный
316;Барин
317;Соловчик
318;Барин
319;Буйный
320;Барин
321;Буйный
322;Барин
323;Барин
324;Буйный
325;Барин
326;Барин
327;Барин
328;Соловчик
329;Геркулес
330;Барин
331;Соловчик
332;Буйный
333;Геркулес
334;Барин
335;Барин
336;Соловчик
337;Барин
338;Буйный
339;Барин
340;Буйный
341;Буйный
342;Геркулес
343;Барин
344;Геркулес
345;Барин
346;Барин
347;Соловчик
348;Барин
349;Буйный
350;Барин
351;Буйный
352;Геркулес
353;Буйный
354;Соловчик
355;Барин
356;Соловчик
357;Барин
358;Буйный
359;Буйный
360;Барин
361;Геркулес
362;Соловчик
363;Буйный
364;Геркулес
365;Буйный
366;Барин
367;Буйный
368;Соловчик
369;Барин
370;Барин
371;Буйный
372;Геркулес
373;Буйный
374;Буйный
375;Буйный
376;Геркулес
377;Соловчик
378;Барин
379;Барин
380;Соловчик
381;Буйный
382;Барин
383;Буйный
384;Барин
385;Барин
386;Буйный
387;Соловчик
388;Соловчик
389;Соловчик
390;Барин
391;Соловчик
392;Буйный
393;Геркулес
394;Буйный
395;Соловчик
396;Геркулес
397;Барин
398;Барин
399;Барин
400;Барин
401;Барин
402;Барин
403;Буйный
404;Барин
405;Барин
406;Соловчик
407;Барин
408;Соловчик
409;Геркулес
410;Барин
411;Буйный
412;Соловчик
413;Барин
414;Барин
415;Буйный
416;Барин
417;Буйный
418;Соловчик
419;Буйный
420;Буйный
421;Геркулес
422;Буйный
423;Геркулес
424;Геркулес
425;Барин
426;Буйный
427;Буйный
428;Геркулес
429;Геркулес
430;Буйный
431;Барин
432;Буйный
433;Барин
434;Барин
435;Барин
436;Барин
437;Буйный
438;Буйный
439;Буйный
440;Буйный
441;Соловчик
442;Соловчик
443;Буйный
444;Буйный
445;Буйный
446;Барин
447;Геркулес
448;Барин
449;Буйный
450;Буйный
451;Буйный
452;Буйный
453;Буйный
454;Барин
455;Барин
456;Геркулес
457;Барин
458;Барин
459;Геркулес
460;Соловчик
461;Соловчик
462;Барин
463;Соловчик
464;Барин
465;Буйный
466;Геркулес
467;Соловчик
468;Барин
469;Геркулес
470;Буйный
471;Соловчик
472;Соловчик
473;Буйный
474;Буйный
475;Буйный
476;Буйный
477;Барин
478;Геркулес
479;Барин
480;Барин
481;Буйный
482;Буйный
483;Барин
484;Буйный
485;Барин
486;Буйный
487;Барин
488;Буйный
489;Буйный
490;Соловчик
491;Буйный
492;Барин
493;Геркулес
494;Соловчик
495;Барин
496;Соловчик
497;Барин
498;Барин
499;Буйный
500;Буйный
501;Барин
502;Барин
503;Соловчик
504;Буйный
505;Геркулес
506;Геркулес
507;Буйный
508;Буйный
509;Соловчик
510;Барин
511;Барин
512;Барин
513;Барин
514;Буйный
515;Буйный
516;Буйный
517;Буйный
518;Буйный
519;Барин
520;Буйный
521;Соловчик
522;Барин
523;Барин
524;Соловчик
525;Буйный
526;Барин
527;Барин
528;Буйный
529;Соловчик
530;Буйный
531;Буйный
532;Барин
533;Соловчик
534;Соловчик
535;Геркулес
536;Геркулес
537;Барин
538;Барин
539;Соловчик
540;Барин
541;Барин
542;Буйный
543;Геркулес
544;Буйный
545;Барин
546;Буйный
547;Барин
548;Соловчик
549;Буйный
550;Буйный
551;Буйный
552;Барин
553;Буйный
554;Барин
555;Буйный
556;Барин
557;Буйный
558;Буйный
559;Барин
560;Барин
561;Соловчик
562;Соловчик
563;Соловчик
564;Буйный
565;Барин
566;Геркулес
567;Буйный
568;Геркулес
569;Соловчик
570;Буйный
571;Барин
572;Соловчик
573;Барин
574;Буйный
575;Барин
576;Буйный
577;Соловчик
578;Буйный
579;Барин
580;Барин
581;Барин
582;Барин
583;Геркулес
584;Буйный
585;Барин
586;Барин
587;Буйный
588;Буйный
589;Барин
590;Барин
591;Буйный
592;Соловчик
593;Соловчик
594;Буйный
595;Буйный
596;Барин
597;Барин
598;Соловчик
599;Барин
600;Буйный
601;Барин
602;Буйный
603;Геркулес
604;Буйный
605;Барин
606;Соловчик
607;Буйный
608;Соловчик
609;Соловчик
610;Буйный
611;Барин
612;Барин
613;Буйный
614;Соловчик
615;Буйный
616;Буйный
617;Буйный
618;Геркулес
619;Буйный
620;Соловчик
621;Буйный
622;Буйный
623;Барин
624;Барин
625;Буйный
626;Барин
627;Барин
628;Барин
629;Соловчик
